id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365
1001254,Clean & quiet apt home by the park,80014485718,unconfirmed,Madaline,Brooklyn,Kensington,40.64749,-73.97237,FALSE,strict,Private room,2020,$966 ,$193 ,10,9,10/19/2021,0.21,4,6,286
1002102,Skylit Midtown Castle,52335172823,verified,Jenna,Manhattan,Midtown,40.75362,-73.98377,FALSE,moderate,Entire home/apt,2007,$142 ,$28 ,30,45,5/21/2022,0.38,4,2,228
1002403,THE VILLAGE OF HARLEM....NEW YORK !,78829239556,,Elise,Manhattan,Harlem,40.80902,-73.9419,TRUE,flexible,Private room,2005,$620 ,$124 ,3,0,,,5,1,352
1002755,West Side Retreat,85098326012,unconfirmed,Garry,Brooklyn,Clinton Hill,40.68514,-73.95976,TRUE,moderate,Entire home/apt,2005,$368 ,$74 ,30,270,5/7/2019,4.64,4,1,322
1003689,Entire Apt: Spacious Studio/Loft by central park,92037596077,verified,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,FALSE,moderate,Entire home/apt,2009,$204 ,$41 ,10,9,11/19/2018,0.1,3,1,289
1004098,Large Cozy 1 BR Apartment In Midtown East,45498551794,verified,Michelle,Manhattan,Murray Hill,40.74767,-73.975,TRUE,flexible,Entire home/apt,2013,$577 ,$115 ,3,74,6/22/2019,0.59,3,1,374
1004650,BlissArtsSpace!,61300605564,,Alberta,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,FALSE,moderate,Private room,2015,$71 ,$14 ,45,49,5/10/2017,0.4,5,1,224
1005202,BlissArtsSpace!,90821839709,unconfirmed,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,FALSE,moderate,Private room,2009,"$1,060 ",$212 ,45,49,5/10/2017,0.4,5,1,219
1005754,Large Furnished Room Near B'way,79384379533,verified,Evelyn,Manhattan,Hell's Kitchen,40.76489,-73.98493,TRUE,strict,Private room,2005,"$1,018 ",$204 ,2,430,6/24/2019,3.47,3,1,180
1006307,Cozy Clean Guest Room - Family Apt,75527839483,unconfirmed,Carl,Manhattan,Upper West Side,40.80178,-73.96723,FALSE,strict,Private room,2015,$291 ,$58 ,2,118,7/21/2017,0.99,5,1,375
1006859,Cute & Cozy Lower East Side 1 bdrm,1280143094,verified,Miranda,Manhattan,Chinatown,40.71344,-73.99037,FALSE,flexible,Entire home/apt,2004,$319 ,$64 ,1,160,9/6/2019,1.33,3,4,1
1007411,Beautiful 1br on Upper West Side,18824631834,verified,Alan,Manhattan,Upper West Side,40.80316,-73.96545,TRUE,flexible,Entire home/apt,2008,$606 ,$121 ,5,53,6/22/2019,0.43,4,1,163
1007964,Central Manhattan/near Broadway,88136055909,verified,,Manhattan,Hell's Kitchen,40.76076,-73.98867,FALSE,strict,Private room,2008,$714 ,$143 ,2,188,6/23/2019,1.5,4,1,258
1008516,"Lovely Room 1, Garden, Best Area, Legal rental",26802410424,verified,Darcy,brookln,South Slope,40.66829,-73.98779,TRUE,moderate,Private room,2010,$580 ,$116 ,4,167,6/24/2019,1.34,4,3,47
1009068,Wonderful Guest Bedroom in Manhattan for SINGLES,88920244552,verified,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,FALSE,flexible,Private room,2019,$149 ,$30 ,2,113,5/7/2019,0.91,3,1,68
1009621,West Village Nest - Superhost,46551725984,verified,Daniel,Manhattan,West Village,40.7353,-74.00525,TRUE,flexible,Entire home/apt,2018,$578 ,,90,27,10/31/2018,0.22,3,1,100
1010173,Only 2 stops to Manhattan studio,62566345680,unconfirmed,Heather,Brooklyn,Williamsburg,40.70837,-73.95352,,moderate,Entire home/apt,2009,$778 ,,2,148,6/29/2019,1.2,3,1,197
1010725,Perfect for Your Parents + Garden,80380130347,verified,Ryan,Brooklyn,Fort Greene,40.69169,-73.97185,,flexible,Entire home/apt,2006,$656 ,,2,198,6/28/2019,1.72,5,1,96
1011277,Chelsea Perfect,73862528370,verified,Alberta,manhatan,Chelsea,40.74192,-73.99501,,moderate,Private room,2008,$460 ,,1,260,1/7/2019,2.12,3,1,325
1011830,Hip Historic Brownstone Apartment with Backyard,72145018858,,Martin,Brooklyn,Crown Heights,40.67592,-73.94694,,moderate,Entire home/apt,2004,"$1,095 ",,3,53,6/22/2019,4.44,5,1,345
1012382,Huge 2 BR Upper East  Cental Park,79805143117,verified,Audrey,Manhattan,East Harlem,40.79685,-73.94872,,moderate,Entire home/apt,2013,$281 ,$56 ,7,0,,,3,2,347
1012934,Sweet and Spacious Brooklyn Loft,86554611512,verified,Alissa,Brooklyn,Williamsburg,40.71842,-73.95718,,flexible,Entire home/apt,2016,$477 ,$95 ,3,9,12/28/2021,0.07,3,1,193
1013487,CBG CtyBGd HelpsHaiti rm#1:1-4,53754237010,verified,Mary,Brooklyn,Park Slope,40.68069,-73.97706,,moderate,Private room,2013,$133 ,$27 ,2,130,1/7/2019,1.09,4,6,54
1014039,CBG Helps Haiti Room#2.5,87668933180,,William,Brooklyn,Park Slope,40.67989,-73.97798,,moderate,Private room,2017,"$1,050 ",$210 ,1,39,1/1/2019,0.37,3,6,9
1014591,CBG Helps Haiti Rm #2,57827496420,unconfirmed,Charlotte,Brooklyn,Park Slope,40.68001,-73.97865,,strict,Private room,2005,$816 ,$163 ,2,71,2/7/2019,0.61,4,6,344
1015144,"MAISON DES SIRENES1,bohemian apartment",48387947293,,Miranda,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,,strict,Entire home/apt,2006,"$1,175 ",$235 ,2,88,6/19/2019,0.73,4,2,372
1015696,Sunny Bedroom Across Prospect Park,81686279636,,Carlos,Brooklyn,Windsor Terrace,40.65599,-73.97519,,moderate,Private room,2021,$530 ,$106 ,1,19,6/23/2019,1.37,5,2,344
1016248,Magnifique Suite au N de Manhattan - vue Cloitres,38811420224,verified,Adrianna,Manhattan,Inwood,40.86754,-73.92639,,strict,Private room,2017,$274 ,$55 ,4,0,,,,1,96
1016800,Midtown Pied-a-terre,19382804591,unconfirmed,Andrew,Manhattan,Hell's Kitchen,40.76715,-73.98533,,moderate,Entire home/apt,2016,$209 ,$42 ,10,58,8/13/2017,0.49,,1,103
1017353,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",51449163855,verified,Daryl,Manhattan,Inwood,40.86482,-73.92106,,strict,Private room,2021,$432 ,$86 ,3,108,6/15/2019,1.11,,3,172
