id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,total_cost
1001254,Clean & quiet apt home by the park,80014485718,unconfirmed,Madaline,Brooklyn,Kensington,40.64749,-73.97237,False,strict,Private room,2020.0,966.0,193.0,10.0,9.0,2021-10-19 00:00:00,0.21,4.0,6.0,286.0,1159.0
1002102,Skylit Midtown Castle,52335172823,verified,Jenna,Manhattan,Midtown,40.75362,-73.98377,False,moderate,Entire home/apt,2007.0,142.0,28.0,30.0,45.0,2022-05-21 00:00:00,0.38,4.0,2.0,228.0,170.0
1002403,THE VILLAGE OF HARLEM....NEW YORK !,78829239556,Unknown,Elise,Manhattan,Harlem,40.80902,-73.9419,True,flexible,Private room,2005.0,620.0,124.0,3.0,0.0,Unknown,0.0,5.0,1.0,352.0,744.0
1002755,West Side Retreat,85098326012,unconfirmed,Garry,Brooklyn,Clinton Hill,40.68514,-73.95976,True,moderate,Entire home/apt,2005.0,368.0,74.0,30.0,270.0,2019-05-07 00:00:00,4.64,4.0,1.0,322.0,442.0
1003689,Entire Apt: Spacious Studio/Loft by central park,92037596077,verified,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,False,moderate,Entire home/apt,2009.0,204.0,41.0,10.0,9.0,2018-11-19 00:00:00,0.1,3.0,1.0,289.0,245.0
1004098,Large Cozy 1 BR Apartment In Midtown East,45498551794,verified,Michelle,Manhattan,Murray Hill,40.74767,-73.975,True,flexible,Entire home/apt,2013.0,577.0,115.0,3.0,74.0,2019-06-22 00:00:00,0.59,3.0,1.0,374.0,692.0
1004650,BlissArtsSpace!,61300605564,Unknown,Alberta,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,False,moderate,Private room,2015.0,71.0,14.0,45.0,49.0,2017-05-10 00:00:00,0.4,5.0,1.0,224.0,85.0
1005202,BlissArtsSpace!,90821839709,unconfirmed,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,False,moderate,Private room,2009.0,1060.0,212.0,45.0,49.0,2017-05-10 00:00:00,0.4,5.0,1.0,219.0,1272.0
1005754,Large Furnished Room Near B'way,79384379533,verified,Evelyn,Manhattan,Hell's Kitchen,40.76489,-73.98493,True,strict,Private room,2005.0,1018.0,204.0,2.0,430.0,2019-06-24 00:00:00,3.47,3.0,1.0,180.0,1222.0
1006307,Cozy Clean Guest Room - Family Apt,75527839483,unconfirmed,Carl,Manhattan,Upper West Side,40.80178,-73.96723,False,strict,Private room,2015.0,291.0,58.0,2.0,118.0,2017-07-21 00:00:00,0.99,5.0,1.0,375.0,349.0
1006859,Cute & Cozy Lower East Side 1 bdrm,1280143094,verified,Miranda,Manhattan,Chinatown,40.71344,-73.99037,False,flexible,Entire home/apt,2004.0,319.0,64.0,1.0,160.0,2019-09-06 00:00:00,1.33,3.0,4.0,1.0,383.0
1007411,Beautiful 1br on Upper West Side,18824631834,verified,Alan,Manhattan,Upper West Side,40.80316,-73.96545,True,flexible,Entire home/apt,2008.0,606.0,121.0,5.0,53.0,2019-06-22 00:00:00,0.43,4.0,1.0,163.0,727.0
1007964,Central Manhattan/near Broadway,88136055909,verified,Unknown,Manhattan,Hell's Kitchen,40.76076,-73.98867,False,strict,Private room,2008.0,714.0,143.0,2.0,188.0,2019-06-23 00:00:00,1.5,4.0,1.0,258.0,857.0
1008516,"Lovely Room 1, Garden, Best Area, Legal rental",26802410424,verified,Darcy,brookln,South Slope,40.66829,-73.98779,True,moderate,Private room,2010.0,580.0,116.0,4.0,167.0,2019-06-24 00:00:00,1.34,4.0,3.0,47.0,696.0
1009068,Wonderful Guest Bedroom in Manhattan for SINGLES,88920244552,verified,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,False,flexible,Private room,2019.0,149.0,30.0,2.0,113.0,2019-05-07 00:00:00,0.91,3.0,1.0,68.0,179.0
1009621,West Village Nest - Superhost,46551725984,verified,Daniel,Manhattan,West Village,40.7353,-74.00525,True,flexible,Entire home/apt,2018.0,578.0,124.0,90.0,27.0,2018-10-31 00:00:00,0.22,3.0,1.0,100.0,702.0
1010173,Only 2 stops to Manhattan studio,62566345680,unconfirmed,Heather,Brooklyn,Williamsburg,40.70837,-73.95352,Unknown,moderate,Entire home/apt,2009.0,778.0,124.0,2.0,148.0,2019-06-29 00:00:00,1.2,3.0,1.0,197.0,902.0
1010725,Perfect for Your Parents + Garden,80380130347,verified,Ryan,Brooklyn,Fort Greene,40.69169,-73.97185,Unknown,flexible,Entire home/apt,2006.0,656.0,124.0,2.0,198.0,2019-06-28 00:00:00,1.72,5.0,1.0,96.0,780.0
1011277,Chelsea Perfect,73862528370,verified,Alberta,manhatan,Chelsea,40.74192,-73.99501,Unknown,moderate,Private room,2008.0,460.0,124.0,1.0,260.0,2019-01-07 00:00:00,2.12,3.0,1.0,325.0,584.0
1011830,Hip Historic Brownstone Apartment with Backyard,72145018858,Unknown,Martin,Brooklyn,Crown Heights,40.67592,-73.94694,Unknown,moderate,Entire home/apt,2004.0,1095.0,124.0,3.0,53.0,2019-06-22 00:00:00,4.44,5.0,1.0,345.0,1219.0
1012382,Huge 2 BR Upper East  Cental Park,79805143117,verified,Audrey,Manhattan,East Harlem,40.79685,-73.94872,Unknown,moderate,Entire home/apt,2013.0,281.0,56.0,7.0,0.0,Unknown,0.0,3.0,2.0,347.0,337.0
1012934,Sweet and Spacious Brooklyn Loft,86554611512,verified,Alissa,Brooklyn,Williamsburg,40.71842,-73.95718,Unknown,flexible,Entire home/apt,2016.0,477.0,95.0,3.0,9.0,2021-12-28 00:00:00,0.07,3.0,1.0,193.0,572.0
1013487,CBG CtyBGd HelpsHaiti rm#1:1-4,53754237010,verified,Mary,Brooklyn,Park Slope,40.68069,-73.97706,Unknown,moderate,Private room,2013.0,133.0,27.0,2.0,130.0,2019-01-07 00:00:00,1.09,4.0,6.0,54.0,160.0
1014039,CBG Helps Haiti Room#2.5,87668933180,Unknown,William,Brooklyn,Park Slope,40.67989,-73.97798,Unknown,moderate,Private room,2017.0,1050.0,210.0,1.0,39.0,2019-01-01 00:00:00,0.37,3.0,6.0,9.0,1260.0
1014591,CBG Helps Haiti Rm #2,57827496420,unconfirmed,Charlotte,Brooklyn,Park Slope,40.68001,-73.97865,Unknown,strict,Private room,2005.0,816.0,163.0,2.0,71.0,2019-02-07 00:00:00,0.61,4.0,6.0,344.0,979.0
1015144,"MAISON DES SIRENES1,bohemian apartment",48387947293,Unknown,Miranda,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Unknown,strict,Entire home/apt,2006.0,1175.0,235.0,2.0,88.0,2019-06-19 00:00:00,0.73,4.0,2.0,372.0,1410.0
1015696,Sunny Bedroom Across Prospect Park,81686279636,Unknown,Carlos,Brooklyn,Windsor Terrace,40.65599,-73.97519,Unknown,moderate,Private room,2021.0,530.0,106.0,1.0,19.0,2019-06-23 00:00:00,1.37,5.0,2.0,344.0,636.0
1016248,Magnifique Suite au N de Manhattan - vue Cloitres,38811420224,verified,Adrianna,Manhattan,Inwood,40.86754,-73.92639,Unknown,strict,Private room,2017.0,274.0,55.0,4.0,0.0,Unknown,0.0,0.0,1.0,96.0,329.0
1016800,Midtown Pied-a-terre,19382804591,unconfirmed,Andrew,Manhattan,Hell's Kitchen,40.76715,-73.98533,Unknown,moderate,Entire home/apt,2016.0,209.0,42.0,10.0,58.0,2017-08-13 00:00:00,0.49,0.0,1.0,103.0,251.0
1017353,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",51449163855,verified,Daryl,Manhattan,Inwood,40.86482,-73.92106,Unknown,strict,Private room,2021.0,432.0,86.0,3.0,108.0,2019-06-15 00:00:00,1.11,0.0,3.0,172.0,518.0
1017905,Modern 1 BR / NYC / EAST VILLAGE,86424057349,unconfirmed,Tyler,Manhattan,East Village,40.7292,-73.98542,Unknown,flexible,Entire home/apt,2010.0,666.0,133.0,14.0,29.0,2019-04-19 00:00:00,0.24,0.0,1.0,56.0,799.0
1018457,front room/double bed,69410526955,unconfirmed,Byron,Manhattan,Harlem,40.82245,-73.95104,Unknown,flexible,Private room,2004.0,770.0,154.0,3.0,242.0,2019-01-06 00:00:00,2.04,0.0,3.0,105.0,924.0
1019010,Spacious 1 bedroom in luxe building,80369762211,verified,Mary,Manhattan,Harlem,40.81305,-73.95466,Unknown,flexible,Private room,2007.0,512.0,102.0,2.0,88.0,2019-06-14 00:00:00,1.42,0.0,1.0,169.0,614.0
1019562,Loft in Williamsburg Area w/ Roof,50968902783,unconfirmed,John,Brooklyn,Greenpoint,40.72219,-73.93762,Unknown,moderate,Private room,2007.0,858.0,172.0,4.0,197.0,2019-06-15 00:00:00,1.65,0.0,3.0,383.0,1030.0
1020114,back room/bunk beds,25066620900,verified,Alfred,Manhattan,Harlem,40.8213,-73.95318,Unknown,strict,Private room,2021.0,545.0,109.0,3.0,273.0,2019-01-07 00:00:00,2.37,0.0,3.0,411.0,654.0
1020667,Large B&B Style rooms,57938703679,unconfirmed,Jared,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,True,strict,Private room,2016.0,191.0,38.0,1.0,74.0,2019-12-05 00:00:00,0.66,0.0,2.0,76.0,229.0
1021219,"Lovely room 2 & garden; Best area, Legal rental",53343148512,verified,Brad,Brooklyn,South Slope,40.66869,-73.9878,True,moderate,Private room,2003.0,1111.0,222.0,4.0,168.0,2019-06-21 00:00:00,1.41,0.0,3.0,416.0,1333.0
1021771,Clean and Quiet in Brooklyn,26207748876,verified,Arthur,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,False,moderate,Private room,2004.0,203.0,41.0,60.0,0.0,Unknown,0.0,0.0,1.0,294.0,244.0
1022323,Cute apt in artist's home,88653822946,verified,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,True,moderate,Entire home/apt,2005.0,1097.0,219.0,2.0,231.0,2019-06-22 00:00:00,1.96,3.0,2.0,214.0,1316.0
1022876,Country space in the city,49725315867,verified,Deanna,Brooklyn,Flatbush,40.63702,-73.96327,True,strict,Private room,2011.0,1020.0,204.0,1.0,0.0,Unknown,0.0,3.0,1.0,356.0,1224.0
1023428,LowerEastSide apt share shortterm 1,31736204344,Unknown,Clark,Manhattan,Lower East Side,40.71401,-73.98917,True,moderate,Shared room,2012.0,1010.0,202.0,1.0,214.0,2019-05-07 00:00:00,1.81,5.0,4.0,110.0,1212.0
